valuation_date,underlying,option_ticker,expiry,tau_years,option_type,strike,spot,implied_vol,mid_price,volume,open_interest
2026-03-28,SPX Index,SPX US 04/17/26 C200 Index,2026-04-17,0.0547945205479452,C,200.0,6368.85,,6153.75,2.0,784
2026-03-28,SPX Index,SPX US 04/17/26 P200 Index,2026-04-17,0.0547945205479452,P,200.0,6368.85,4.191854,0.05,1.0,820
2026-03-28,SPX Index,SPX US 04/17/26 C400 Index,2026-04-17,0.0547945205479452,C,400.0,6368.85,,5953.6,3.0,26
2026-03-28,SPX Index,SPX US 04/17/26 P400 Index,2026-04-17,0.0547945205479452,P,400.0,6368.85,3.316625,0.05,4.0,15
2026-03-28,SPX Index,SPX US 04/17/26 C600 Index,2026-04-17,0.0547945205479452,C,600.0,6368.85,,5754.1,2.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P600 Index,2026-04-17,0.0547945205479452,P,600.0,6368.85,2.819096,0.05,1.0,1108
2026-03-28,SPX Index,SPX US 04/17/26 C800 Index,2026-04-17,0.0547945205479452,C,800.0,6368.85,,5554.5,0.0,6
2026-03-28,SPX Index,SPX US 04/17/26 P800 Index,2026-04-17,0.0547945205479452,P,800.0,6368.85,2.813158,0.3,30.0,2130
2026-03-28,SPX Index,SPX US 04/17/26 C1000 Index,2026-04-17,0.0547945205479452,C,1000.0,6368.85,,5355.55,3.0,844
2026-03-28,SPX Index,SPX US 04/17/26 P1000 Index,2026-04-17,0.0547945205479452,P,1000.0,6368.85,2.509075,0.3,1.0,3838
2026-03-28,SPX Index,SPX US 04/17/26 C1200 Index,2026-04-17,0.0547945205479452,C,1200.0,6368.85,,5155.5,0.0,67
2026-03-28,SPX Index,SPX US 04/17/26 P1200 Index,2026-04-17,0.0547945205479452,P,1200.0,6368.85,2.2911859999999997,0.35,6.0,866
2026-03-28,SPX Index,SPX US 04/17/26 C1400 Index,2026-04-17,0.0547945205479452,C,1400.0,6368.85,,4955.9,1.0,15
2026-03-28,SPX Index,SPX US 04/17/26 P1400 Index,2026-04-17,0.0547945205479452,P,1400.0,6368.85,1.806497,0.05,1.0,1341
2026-03-28,SPX Index,SPXW US 04/17/26 C1400 Index,2026-04-17,0.0547945205479452,C,1400.0,6368.85,2.111095,4954.95,8.0,19
2026-03-28,SPX Index,SPXW US 04/17/26 P1400 Index,2026-04-17,0.0547945205479452,P,1400.0,6368.85,2.037009,0.3,3.0,363
2026-03-28,SPX Index,SPX US 04/17/26 C1600 Index,2026-04-17,0.0547945205479452,C,1600.0,6368.85,,4756.4,0.0,10
2026-03-28,SPX Index,SPX US 04/17/26 P1600 Index,2026-04-17,0.0547945205479452,P,1600.0,6368.85,1.901651,0.35,1.0,6530
2026-03-28,SPX Index,SPXW US 04/17/26 C1600 Index,2026-04-17,0.0547945205479452,C,1600.0,6368.85,1.854855,4755.45,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P1600 Index,2026-04-17,0.0547945205479452,P,1600.0,6368.85,1.860525,0.3,9.0,462
2026-03-28,SPX Index,SPX US 04/17/26 C1800 Index,2026-04-17,0.0547945205479452,C,1800.0,6368.85,,4556.9,2.0,119
2026-03-28,SPX Index,SPX US 04/17/26 P1800 Index,2026-04-17,0.0547945205479452,P,1800.0,6368.85,1.76254,0.4,1.0,1599
2026-03-28,SPX Index,SPXW US 04/17/26 C1800 Index,2026-04-17,0.0547945205479452,C,1800.0,6368.85,1.895558,4556.35,1.0,1
2026-03-28,SPX Index,SPXW US 04/17/26 P1800 Index,2026-04-17,0.0547945205479452,P,1800.0,6368.85,1.72703,0.35,39.0,413
2026-03-28,SPX Index,SPX US 04/17/26 C2000 Index,2026-04-17,0.0547945205479452,C,2000.0,6368.85,1.516164,4357.65,1.0,78
2026-03-28,SPX Index,SPX US 04/17/26 P2000 Index,2026-04-17,0.0547945205479452,P,2000.0,6368.85,1.619846,0.4,5.0,5509
2026-03-28,SPX Index,SPXW US 04/17/26 C2000 Index,2026-04-17,0.0547945205479452,C,2000.0,6368.85,1.4282499999999998,4356.1,1.0,14
2026-03-28,SPX Index,SPXW US 04/17/26 P2000 Index,2026-04-17,0.0547945205479452,P,2000.0,6368.85,1.587004,0.35,1.0,246
2026-03-28,SPX Index,SPX US 04/17/26 C2200 Index,2026-04-17,0.0547945205479452,C,2200.0,6368.85,1.079448,4157.9,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2200 Index,2026-04-17,0.0547945205479452,P,2200.0,6368.85,1.505843,0.45,2500.0,3604
2026-03-28,SPX Index,SPXW US 04/17/26 C2200 Index,2026-04-17,0.0547945205479452,C,2200.0,6368.85,1.542249,4156.85,0.0,1
2026-03-28,SPX Index,SPXW US 04/17/26 P2200 Index,2026-04-17,0.0547945205479452,P,2200.0,6368.85,1.5053980000000002,0.5,20.0,481
2026-03-28,SPX Index,SPX US 04/17/26 C2300 Index,2026-04-17,0.0547945205479452,C,2300.0,6368.85,,4058.1,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2300 Index,2026-04-17,0.0547945205479452,P,2300.0,6368.85,1.458332,0.5,80.0,287
2026-03-28,SPX Index,SPX US 04/17/26 C2400 Index,2026-04-17,0.0547945205479452,C,2400.0,6368.85,1.35266,3958.65,1.0,1
2026-03-28,SPX Index,SPX US 04/17/26 P2400 Index,2026-04-17,0.0547945205479452,P,2400.0,6368.85,1.399972,0.5,1.0,2631
2026-03-28,SPX Index,SPXW US 04/17/26 C2400 Index,2026-04-17,0.0547945205479452,C,2400.0,6368.85,1.474799,3957.85,1.0,1
2026-03-28,SPX Index,SPXW US 04/17/26 P2400 Index,2026-04-17,0.0547945205479452,P,2400.0,6368.85,1.398534,0.55,41.0,722
2026-03-28,SPX Index,SPX US 04/17/26 C2500 Index,2026-04-17,0.0547945205479452,C,2500.0,6368.85,1.15855,3858.6,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2500 Index,2026-04-17,0.0547945205479452,P,2500.0,6368.85,1.355113,0.55,146.0,8327
2026-03-28,SPX Index,SPX US 04/17/26 C2600 Index,2026-04-17,0.0547945205479452,C,2600.0,6368.85,1.177487,3758.9,1.0,1
2026-03-28,SPX Index,SPX US 04/17/26 P2600 Index,2026-04-17,0.0547945205479452,P,2600.0,6368.85,1.310944,0.6,10.0,8091
2026-03-28,SPX Index,SPXW US 04/17/26 C2600 Index,2026-04-17,0.0547945205479452,C,2600.0,6368.85,1.348935,3757.95,0.0,22
2026-03-28,SPX Index,SPXW US 04/17/26 P2600 Index,2026-04-17,0.0547945205479452,P,2600.0,6368.85,1.2988149999999998,0.6,44.0,666
2026-03-28,SPX Index,SPX US 04/17/26 C2700 Index,2026-04-17,0.0547945205479452,C,2700.0,6368.85,1.169148,3659.2,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2700 Index,2026-04-17,0.0547945205479452,P,2700.0,6368.85,1.200839,0.35,20.0,6995
2026-03-28,SPX Index,SPX US 04/17/26 C2800 Index,2026-04-17,0.0547945205479452,C,2800.0,6368.85,1.117979,3559.4,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2800 Index,2026-04-17,0.0547945205479452,P,2800.0,6368.85,1.2165089999999998,0.65,132.0,7044
2026-03-28,SPX Index,SPXW US 04/17/26 C2800 Index,2026-04-17,0.0547945205479452,C,2800.0,6368.85,1.225575,3558.5,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P2800 Index,2026-04-17,0.0547945205479452,P,2800.0,6368.85,1.213394,0.7,151.0,448
2026-03-28,SPX Index,SPX US 04/17/26 C2900 Index,2026-04-17,0.0547945205479452,C,2900.0,6368.85,1.100377,3459.7,30.0,30
2026-03-28,SPX Index,SPX US 04/17/26 P2900 Index,2026-04-17,0.0547945205479452,P,2900.0,6368.85,1.123924,0.425,439.0,6966
2026-03-28,SPX Index,SPX US 04/17/26 C3000 Index,2026-04-17,0.0547945205479452,C,3000.0,6368.85,1.077059,3360.0,7.0,238
2026-03-28,SPX Index,SPX US 04/17/26 P3000 Index,2026-04-17,0.0547945205479452,P,3000.0,6368.85,1.088435,0.475,212.0,12022
2026-03-28,SPX Index,SPXW US 04/17/26 C3000 Index,2026-04-17,0.0547945205479452,C,3000.0,6368.85,1.215854,3359.55,14.0,0
